Gene name,Accession
DPH6,Q12429
DPL1,Q05567
DPM1,P14020
DPP1,Q05521
DPS1,P04802
DRE2,P36152
DRN1,P53255
DRS1,P32892
DRS2,P39524
DSC2,Q08232
DSC3,Q12015
DSD1,P53095
DSE1,P40077
DSE2,P38844
DSE3,Q08729
DSE4,P53753
DSF1,P0CX08
DSF2,P38213
DSK2,P48510
DSL1,P53847
DSN1,P40568
DSS1,P39112
DSS4,P32601
DST1,P07273
DTD1,Q07648
DTR1,P38125
DUF1,Q99247
DUG1,P43616
DUG2,P38149
DUG3,P53871
DUN1,P39009
DUO1,P53168
"DUR1,2",P32528
DUR3,P33413
DUS1,P53759
DUS3,Q06053
DUS4,Q06063
DUT1,P33317
DXO1,Q06349
DYN1,P36022
DYN2,Q02647
DYN3,Q04949
DYS1,P38791
EAF1,Q06337
EAF3,Q12432
EAF5,P39995
EAF6,P47128
EAF7,P53911
EAP1,P36041
EAR1,Q03212
EAT1,P53208
EBP2,P36049
EBS1,Q03466
ECI1,Q05871
ECL1,P48235
ECM10,P39987
ECM11,Q04110
ECM12,O13529
ECM13,P38195
ECM14,P38836
ECM15,P35195
ECM16,Q04217
ECM18,Q04623
ECM19,Q06011
ECM1,P39715
ECM21,P38167
ECM22,Q05958
ECM23,Q02710
ECM25,P32525
ECM27,P47144
ECM29,P38737
ECM2,P38241
ECM3,Q99252
ECM30,Q06673
ECM31,P38122
ECM32,P32644
ECM33,P38248
ECM34,P38728
ECM38,Q05902
ECM4,P36156
ECM5,Q03214
ECM7,Q06200
ECM8,P38246
ECM9,Q02202
ECO1,P43605
ECT1,P33412
EDC1,P53080
EDC2,P40023
EDC3,P39998
EDE1,P34216
EDS1,P38073
EEB1,Q02891
EFB1,P32471
EFG1,Q3E705
EFM1,P38732
EFM2,P38347
EFM3,P47163
EFM4,P40516
EFM5,P53200
EFM6,P53970
EFR3,Q03653
EFT1,P32324
EFT2,P32324
EGD1,Q02642
EGD2,P38879
EGH1,P40566
EGT2,P42835
EHD3,P28817
EHT1,P38295
EIS1,Q05050
EKI1,Q03764
ELA1,P53861
ELC1,Q03071
ELF1,P36053
ELG1,Q12050
ELM1,P32801
ELO1,P39540
ELO2,P25358
ELO3,P40319
ELP2,P42935
ELP3,Q02908
ELP4,Q02884
ELP6,Q04868
EMC1,P25574
EMC10,Q12025
EMC2,P47133
EMC3,P36039
EMC4,P53073
EMC5,P40540
EMC6,Q12431
EMG1,Q06287
EMI1,Q04406
EMI2,Q04409
EMP24,P32803
EMP46,Q12396
EMP47,P43555
EMP65,P40085
EMP70,P32802
EMW1,P42842
ENA1,P13587
ENA2,Q01896
ENA5,Q12691
ENB1,Q08299
END3,P39013
ENO1,P00924
ENO2,P00925
ENP1,P38333
ENP2,P48234
ENT1,Q12518
ENT2,Q05785
ENT3,P47160
ENT4,Q07872
ENT5,Q03769
ENV10,Q99382
ENV11,P53246
ENV7,Q12003
ENV9,Q08651
EOS1,P53938
EPL1,P43572
EPS1,P40557
EPT1,P22140
ERB1,Q04660
ERC1,P38767
ERD1,P16151
ERD2,P18414
ERF2,Q06551
ERG1,P32476
ERG10,P41338
ERG11,P10614
ERG12,P07277
ERG13,P54839
ERG2,P32352
ERG20,P08524
ERG24,P32462
ERG25,P53045
ERG26,P53199
ERG27,Q12452
ERG28,P40030
ERG29,P40207
ERG3,P32353
ERG4,P25340
ERG5,P54781
ERG6,P25087
ERG7,P38604
